id;fecha;pais;estado;descripcion_estado;estatus;fecha_modificacion;usuario
1;2023-03-11;Checking;Negro Dirham;embrace Kwacha calculate;Activo;2023-03-11;ejecutiva
2;2023-03-10;XML Consultor;Marroquinería systems Heredado;Métricas;Activo;2023-03-10;Bélgica copy Ergonómico
3;2023-03-10;Borders online Investment;bypassing;Glorieta Borders;Activo;2023-03-10;middleware
4;2023-03-10;JSON;Pequeño;Perseverando benficios;Activo;2023-03-10;Artesanal transmitter wireless
5;2023-03-11;Exclusivo port state;markets EXE HTTP;monetize definición;Inactivo;2023-03-10;Mascotas back-end Guapo
6;2023-03-10;drive;Dollar En;mobile Gorro;Activo;2023-03-10;Metal
7;2023-03-10;Configuración;Sorprendente panel Producto;Cambridgeshire;Activo;2023-03-11;Pelota desafío moderador
8;2023-03-10;pixel Avon Opcional;solución Burundi open-source;Interacciones port deposit;Inactivo;2023-03-11;Murcia
9;2023-03-10;user-centric;Sopa Armenian PNG;Artesanal;Activo;2023-03-10;UIC-Franc
10;2023-03-10;Seguridada deposit Implementado;bypass one-to-one;Account;Inactivo;2023-03-10;solid
