id;fecha;motivo_cancelacion;estatus;fecha_modificacion;usuario
1;2023-03-10;Facilitador Bedfordshire generación;Inactivo;2023-03-10;Berkshire Bacon
2;2023-03-10;Cambridgeshire Bélgica;Inactivo;2023-03-10;Caserio Canarias
3;2023-03-10;invoice;Inactivo;2023-03-10;Métricas Queso innovadora
4;2023-03-10;experiences;Inactivo;2023-03-10;evolve
5;2023-03-10;compress;Activo;2023-03-10;Dalasi protocol la
6;2023-03-10;Corporativo Acero;Activo;2023-03-10;Diverso superestructura redund
7;2023-03-10;Hormigon sistémica Manzana;Activo;2023-03-10;Kina
8;2023-03-10;de Aragón Comunicaciones;Activo;2023-03-11;COM technologies grow
9;2023-03-10;generating Algodón bleeding-edge;Activo;2023-03-10;deposit firewall ubiquitous
10;2023-03-10;bypassing Librería Asociado;Activo;2023-03-10;Bedfordshire
